Id,Date,Title,Content
Id,Date,Title,Content
USKBN2J805V,"
1:26am EST
","
								Tesla's Musk exercises all of his stock options expiring next year",
USKBN2J809S,"
1:07am EST
","
								Tory Burch's Muratore on tech and the power of change",
USKBN2J71BI,"
1:02am EST
","
								Delta, Alaska cancel hundreds of flights due to bad weather, Omicron cases",
USKBN2J80A6,"
12:52am EST
","
								China's Didi plans Hong Kong 'listing by introduction', picks banks - sources","Reporting by Julie Zhu in Hong Kong and Zhang Yan in Shanghai; Additional reporting by Sophie Yu, Selena Li and Scott Murdoch; Editing by Sumeet Chatterjee and Kenneth MaxwellOur Standards: The Thomson Reuters Trust Principles."
USKBN2J8077,"
12:40am EST
","
								China outlines vision for four mega data centre clusters",
USKBN2J803P,"
12:17am EST
","
								Oil edges higher as U.S. crude inventories decline",
USKBN2J803N,"
12:06am EST
","
								Dollar firms in soft holiday trading, outlook bullish",Reporting by Alun John; editing by Richard Pullin &amp; Shri NavaratnamOur Standards: The Thomson Reuters Trust Principles.
USKBN2J8067,"
Dec 28 2021
","
								Malaysian securities regulator charges Serba Dinamik, seeks arrest of CEO",Reporting by Liz Lee; Editing by Kenneth MaxwellOur Standards: The Thomson Reuters Trust Principles.
USKBN2J807D,"
Dec 28 2021
","
								Foxconn to restructure management at India iPhone plant",
USKBN2J703Q,"
Dec 28 2021
","
								Asia shares slip as investors ready for end of 2021",
USKBN2J805V,"
1:26am EST
","
								Tesla's Musk exercises all of his stock options expiring next year",
USKBN2J809S,"
1:07am EST
","
								Tory Burch's Muratore on tech and the power of change",
USKBN2J71BI,"
1:02am EST
","
								Delta, Alaska cancel hundreds of flights due to bad weather, Omicron cases",
USKBN2J80A6,"
12:52am EST
","
								China's Didi plans Hong Kong 'listing by introduction', picks banks - sources","Reporting by Julie Zhu in Hong Kong and Zhang Yan in Shanghai; Additional reporting by Sophie Yu, Selena Li and Scott Murdoch; Editing by Sumeet Chatterjee and Kenneth MaxwellOur Standards: The Thomson Reuters Trust Principles."
USKBN2J8077,"
12:40am EST
","
								China outlines vision for four mega data centre clusters",
USKBN2J803P,"
12:17am EST
","
								Oil edges higher as U.S. crude inventories decline",
USKBN2J803N,"
12:06am EST
","
								Dollar firms in soft holiday trading, outlook bullish",Reporting by Alun John; editing by Richard Pullin &amp; Shri NavaratnamOur Standards: The Thomson Reuters Trust Principles.
USKBN2J8067,"
Dec 28 2021
","
								Malaysian securities regulator charges Serba Dinamik, seeks arrest of CEO",Reporting by Liz Lee; Editing by Kenneth MaxwellOur Standards: The Thomson Reuters Trust Principles.
USKBN2J807D,"
Dec 28 2021
","
								Foxconn to restructure management at India iPhone plant",
USKBN2J703Q,"
Dec 28 2021
","
								Asia shares slip as investors ready for end of 2021",
USKBN2J71FB,"
Dec 28 2021
","
								Bitcoin falls 6.1 percent to $47,607",
USKBN2J702U,"
Dec 28 2021
","
								Oil settles higher despite Omicron concerns",
USKBN2J8024,"
Dec 28 2021
","
								Texas judge orders Exxon to preserve evidence from fire incident",Our Standards: The Thomson Reuters Trust Principles.
USKBN2J70QG,"
Dec 28 2021
","
								S&P 500 ends lower after four-day rally to record high",
USKBN2J71GX,"
Dec 28 2021
","
								AMD, P&G join others in opting out of CES event on Omicron fears",Reporting by Chavi Mehta in Bengaluru; Editing by Shinjini GanguliOur Standards: The Thomson Reuters Trust Principles.
USKBN2J71DA,"
Dec 28 2021
","
								Rivian delays deliveries of pickup, SUV with big battery packs to 2023",
USKBN2J7179,"
Dec 28 2021
","
								Carnival says most itineraries unchanged even as Omicron cases rise",
USKBN2J71EU,"
Dec 28 2021
","
								Waymo and China's Zeekr partner to develop driverless taxis",
USKBN2J71AU,"
Dec 28 2021
","
								Exclusive-From Kentucky to Arkansas, America's least-vaccinated states led in-store holiday shopping",
USKBN2J71CR,"
Dec 28 2021
","
								Factbox-Who will get the Fed regulation job? Here are some of the contenders",
USKBN2J7031,"
Dec 28 2021
","
								Dollar lifted by safe-haven flows, Fed expectations",
USKBN2J713N,"
Dec 28 2021
","
								Raskin eyed as Wall Street cop as Biden weighs Fed slate -WSJ",
USKBN2J719S,"
Dec 28 2021
","
								Explainer-Hefty to-do list awaits Fed's next regulatory chief",
USKBN2J6106,"
Dec 28 2021
","
								BNP's Italian bank, unions spar over strike take-up",
USKBN2J7130,"
Dec 28 2021
","
								Alphabet CEO Pichai can be questioned in privacy lawsuit, judge rules",
USKBN2J70PQ,"
Dec 28 2021
","
								Exclusive-California commission claims retailers violating plastic bag law",
USKBN2J70Z7,"
Dec 28 2021
","
								U.S. judge dismisses claims that LinkedIn overcharged advertisers",Our Standards: The Thomson Reuters Trust Principles.
USKBN2J70WF,"
Dec 28 2021
","
								U.S. reality TV star Paris Hilton launches metaverse business on Roblox",Reporting by Dawn Chmielewski; editing by Kenneth Li and Nick ZieminskiOur Standards: The Thomson Reuters Trust Principles.
USKBN2J70TR,"
Dec 28 2021
","
								Israel's SavorEat launches personalised plant-based 3D printed burgers",
USKBN2J70PY,"
Dec 28 2021
","
								Analysis-Financial literacy or luck? The year small-time traders made a big impact",
USKBN2J70FJ,"
Dec 28 2021
","
								Indonesia allows Boeing's 737 MAX to fly again after deadly crash",
USKBN2J70QE,"
Dec 28 2021
","
								Explainer-The Libor era nears its end",
USKBN2J60M5,"
Dec 28 2021
","
								China local COVID-19 cases up for 4th day as Xian outbreak expands",
USKBN2J70NO,"
Dec 28 2021
","
								Analysis-With key positions filling up, Biden's regulatory agenda to take shape in 2022",
USKBN2J70L8,"
Dec 28 2021
","
								Telefonica reaches agreement to cut about 2,700 jobs in Spain",
USKBN2J703E,"
Dec 28 2021
","
								China Evergrande shares rise on vow to boost unit construction",
USKBN2J61CQ,"
Dec 28 2021
","
								Japan's factory output soars as car production returns",
USKBN2J603T,"
Dec 28 2021
","
								World stock prices gain on strong U.S. holiday sales",
USKBN2J70FE,"
Dec 28 2021
","
								Central Bank governor says China about to issue low-cost loans for emissions cuts",
USKBN2J6160,"
Dec 28 2021
","
								U.S. regulators step up probe into Hyundai, Kia engine fires",
USKBN2J618I,"
Dec 28 2021
","
								Apple closes New York City stores to shoppers as COVID-19 cases rise",
